,postcode,bedrooms,main_type,second_level_type,footprint_area_sqm,abshmin,absh2,abshmax,relh2,relhmax,internal_floor_area_sqm,chain_1_hash
4380,SW11 6QT,3,HSE,TERR,50.49825,18.5,26.7,28.2,8.2,9.7,126.0,148fce3686e0718154211f6cd6452be1
4381,SW11 3NG,2,FLA,BLK,237.07502,4.7,60.6,67.2,55.9,62.5,55.0,
4382,SW11 4EZ,2,FLA,BLK,339.77498,4.3,19.8,24.2,15.5,19.9,98.0,557757246b92f43d43897cd4c440a206
4383,SW11 5NY,5,HSE,TERR,64.95124,19.4,26.5,29.9,7.1,10.5,162.0,677dd5ef6af7155c9a2a1ba73aa80281
4384,SW11 6QT,2,FLA,CNV,76.02887,16.1,21.7,25.8,5.6,9.7,55.0,148fce3686e0718154211f6cd6452be1
4385,SW11 6QT,2,FLA,CNV,78.79413,16.3,24.0,26.0,7.7,9.7,95.0,148fce3686e0718154211f6cd6452be1
4386,SW11 1PQ,2,FLA,CNV,66.25576,13.3,23.1,27.5,9.8,14.2,53.0,9d93ca648b90ad85ead052f43a33f3b0
4387,SW11 4EZ,3,FLA,BLK,339.77498,4.3,19.8,24.2,15.5,19.9,155.0,557757246b92f43d43897cd4c440a206
4388,SW11 4EZ,3,FLA,BLK,339.77498,4.3,19.8,24.2,15.5,19.9,147.0,557757246b92f43d43897cd4c440a206
4389,SW11 1PQ,1,FLA,CNV,106.19274,13.3,22.2,27.7,8.9,14.4,60.0,9d93ca648b90ad85ead052f43a33f3b0
4390,SW11 5NY,4,HSE,TERR,63.22998,20.1,27.8,30.6,7.7,10.5,127.0,677dd5ef6af7155c9a2a1ba73aa80281
4391,SW11 5NY,4,HSE,TERR,59.59876,20.2,27.6,30.3,7.4,10.1,134.0,677dd5ef6af7155c9a2a1ba73aa80281
4392,SW11 6QX,4,HSE,TERR,68.9218,17.9,25.3,28.6,7.4,10.7,151.0,2ba70f234364839637b2ce07e76eff0b
4393,SW11 6QX,4,HSE,TERR,70.10694,17.5,24.6,28.1,7.1,10.6,151.0,2ba70f234364839637b2ce07e76eff0b
4394,SW11 6QX,4,HSE,TERR,92.09007,17.4,24.1,27.7,6.7,10.3,166.0,2ba70f234364839637b2ce07e76eff0b
4395,SW11 6QX,6,HSE,TERR,74.3715,17.1,23.8,28.0,6.7,10.9,239.0,2ba70f234364839637b2ce07e76eff0b
4396,SW11 6QX,5,HSE,TERR,71.93197,16.8,24.0,26.8,7.2,10.0,172.0,2ba70f234364839637b2ce07e76eff0b
4397,SW11 6QX,4,HSE,TERR,74.15424,16.5,23.4,26.9,6.9,10.4,117.0,2ba70f234364839637b2ce07e76eff0b
4398,SW11 3NG,1,FLA,BLK,237.07502,4.7,60.6,67.2,55.9,62.5,46.0,
4399,SW11 6QX,4,HSE,TERR,70.4052,16.0,23.1,26.2,7.1,10.2,171.0,2ba70f234364839637b2ce07e76eff0b
4400,SW11 3NG,1,FLA,BLK,237.07502,4.7,60.6,67.2,55.9,62.5,43.0,
4401,SW11 5NY,6,HSE,TERR,77.8082,20.9,27.3,31.0,6.4,10.1,163.0,d0e654bed4e46fc34f4bad44e6634fdd
4402,SW11 6QX,4,HSE,TERR,78.12722,15.4,22.2,25.2,6.8,9.8,170.0,2ba70f234364839637b2ce07e76eff0b
4403,SW11 6QX,4,HSE,TERR,82.2702,18.3,26.1,29.9,7.8,11.6,144.0,2ba70f234364839637b2ce07e76eff0b
4404,SW11 5NY,4,HSE,TERR,61.41258,18.0,26.5,28.6,8.5,10.6,138.0,677dd5ef6af7155c9a2a1ba73aa80281
4405,SW11 5NY,5,HSE,TERR,63.02626,18.1,26.9,28.6,8.8,10.5,164.0,677dd5ef6af7155c9a2a1ba73aa80281
4406,SW11 6QX,4,HSE,TERR,56.37154,14.5,20.8,23.1,6.3,8.6,129.0,2ba70f234364839637b2ce07e76eff0b
4407,SW11 3NG,2,FLA,BLK,237.07502,4.7,60.6,67.2,55.9,62.5,57.0,
4408,SW11 3NG,2,FLA,BLK,237.07502,4.7,60.6,67.2,55.9,62.5,56.0,
4409,SW11 3NG,2,FLA,BLK,237.07502,4.7,60.6,67.2,55.9,62.5,55.0,
4410,SW11 2JY,2,HSE,TERR,38.89126,3.4,8.8,10.4,5.4,7.0,69.0,d2dbc50057138b9a12c193dccd92adba
4411,SW11 2JY,2,HSE,TERR,55.10715,3.3,9.0,10.5,5.7,7.2,64.0,d2dbc50057138b9a12c193dccd92adba
4412,SW11 2JY,2,HSE,TERR,41.4788,2.9,9.0,10.2,6.1,7.3,66.0,e92c5bc48114398a2686463614a78b19
4413,SW11 6QY,6,HSE,TERR,61.46545,18.1,26.6,29.9,8.5,11.8,216.0,a7e2a2cde3a66debbe1bcb5c65f4981c
4414,SW11 3NG,2,FLA,BLK,237.07502,4.7,60.6,67.2,55.9,62.5,58.0,
4415,SW11 2JY,2,HSE,TERR,41.2525,3.0,8.5,10.1,5.5,7.1,58.0,e92c5bc48114398a2686463614a78b19
4416,SW11 2JY,2,HSE,TERR,39.135,3.1,8.4,10.3,5.3,7.2,69.0,e92c5bc48114398a2686463614a78b19
4417,SW11 2JY,2,HSE,TERR,55.38876,3.1,5.1,11.4,2.0,8.3,87.0,e92c5bc48114398a2686463614a78b19
